"trial_type","trial_index","time_elapsed","internal_node_id","BASE_QUALTRICS_ID","PUNS_ID","baseline_date","baseline_time","session_day","session_slot","experiment_start","browser","screen_width","screen_height","timezone_offset","view_history","rt","stimulus","response","trial_number","left_word","right_word","valence","left_base_rating","right_base_rating","left_valence","right_valence","abs_diff","participant_response","chosen_side","valid_response","which_experiment_phase"
"pavlovia","0","1256","0.0-0.0","","1001","2025-09-22","21:22:42.054Z","day5","evening","2025-09-26T03:28:18.314Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","980","1665","240","","","","","","","","","","","","","","","","",""
"instructions","1","6391","0.0-1.0","","1001","2025-09-22","21:22:42.054Z","day5","evening","2025-09-26T03:28:18.314Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","980","1665","240","[{""page_index"":0,""viewing_time"":1412},{""page_index"":1,""viewing_time"":1291},{""page_index"":2,""viewing_time"":1225},{""page_index"":3,""viewing_time"":1201}]","5131","","","","","","","","","","","","","","",""
"html-button-response","2","7926","0.0-2.0-0.0","","1001","2025-09-22","21:22:42.054Z","day5","evening","2025-09-26T03:28:18.314Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","980","1665","240","","1526","<p style=""font-size:40px;"">Which word describes you more?</p>","1","1","wise","heartbroken","PosNeg","27","49","positive","negative","22","heartbroken","right","true","pairing"
"html-button-response","3","9023","0.0-2.0-0.1","","1001","2025-09-22","21:22:42.054Z","day5","evening","2025-09-26T03:28:18.314Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","980","1665","240","","1094","<p style=""font-size:40px;"">Which word describes you more?</p>","1","2","achiever","quitter","PosNeg","18","60","positive","negative","42","quitter","right","true","pairing"
"html-button-response","4","10007","0.0-2.0-0.2","","1001","2025-09-22","21:22:42.054Z","day5","evening","2025-09-26T03:28:18.314Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","980","1665","240","","982","<p style=""font-size:40px;"">Which word describes you more?</p>","1","3","graceful","proficient","PosPos","46","36","positive","positive","10","proficient","right","true","pairing"
"html-button-response","5","10941","0.0-2.0-0.3","","1001","2025-09-22","21:22:42.054Z","day5","evening","2025-09-26T03:28:18.314Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","980","1665","240","","932","<p style=""font-size:40px;"">Which word describes you more?</p>","1","4","hopeful","loser","PosNeg","33","64","positive","negative","31","loser","right","true","pairing"
"html-button-response","6","11775","0.0-2.0-0.4","","1001","2025-09-22","21:22:42.054Z","day5","evening","2025-09-26T03:28:18.314Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","980","1665","240","","832","<p style=""font-size:40px;"">Which word describes you more?</p>","1","5","slob","admired","PosNeg","41","45","negative","positive","4","admired","right","true","pairing"
"html-button-response","7","12693","0.0-2.0-0.5","","1001","2025-09-22","21:22:42.054Z","day5","evening","2025-09-26T03:28:18.314Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","980","1665","240","","915","<p style=""font-size:40px;"">Which word describes you more?</p>","1","6","champion","worthless","PosNeg","62","40","positive","negative","22","worthless","right","true","pairing"
"html-button-response","8","16679","0.0-2.0-0.6","","1001","2025-09-22","21:22:42.054Z","day5","evening","2025-09-26T03:28:18.314Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","980","1665","240","","3983","<p style=""font-size:40px;"">Which word describes you more?</p>","1","7","gloomy","learner","PosNeg","18","58","negative","positive","40","learner","right","true","pairing"
"html-button-response","9","17611","0.0-2.0-0.7","","1001","2025-09-22","21:22:42.054Z","day5","evening","2025-09-26T03:28:18.314Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","980","1665","240","","929","<p style=""font-size:40px;"">Which word describes you more?</p>","1","8","defective","empty","NegNeg","17","93","negative","negative","76","empty","right","true","pairing"
"html-button-response","10","18661","0.0-2.0-0.8","","1001","2025-09-22","21:22:42.054Z","day5","evening","2025-09-26T03:28:18.314Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","980","1665","240","","1048","<p style=""font-size:40px;"">Which word describes you more?</p>","1","9","witty","unbearable","PosNeg","13","35","positive","negative","22","unbearable","right","true","pairing"
"html-button-response","11","19744","0.0-2.0-0.9","","1001","2025-09-22","21:22:42.054Z","day5","evening","2025-09-26T03:28:18.314Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","980","1665","240","","1081","<p style=""font-size:40px;"">Which word describes you more?</p>","1","10","valued","failure","PosNeg","38","35","positive","negative","3","failure","right","true","pairing"
"html-button-response","12","20645","0.0-2.0-0.10","","1001","2025-09-22","21:22:42.054Z","day5","evening","2025-09-26T03:28:18.314Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","980","1665","240","","898","<p style=""font-size:40px;"">Which word describes you more?</p>","0","11","hesitant","committed","PosNeg","58","60","negative","positive","2","hesitant","left","true","pairing"
"html-button-response","13","21596","0.0-2.0-0.11","","1001","2025-09-22","21:22:42.054Z","day5","evening","2025-09-26T03:28:18.314Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","980","1665","240","","948","<p style=""font-size:40px;"">Which word describes you more?</p>","1","12","enthusiastic","regretful","PosNeg","61","8","positive","negative","53","regretful","right","true","pairing"
"html-button-response","14","22378","0.0-2.0-0.12","","1001","2025-09-22","21:22:42.054Z","day5","evening","2025-09-26T03:28:18.314Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","980","1665","240","","780","<p style=""font-size:40px;"">Which word describes you more?</p>","0","13","incompetent","spirited","PosNeg","17","30","negative","positive","13","incompetent","left","true","pairing"
"html-button-response","15","23278","0.0-2.0-0.13","","1001","2025-09-22","21:22:42.054Z","day5","evening","2025-09-26T03:28:18.314Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","980","1665","240","","898","<p style=""font-size:40px;"">Which word describes you more?</p>","1","14","pleased","spectacular","PosPos","63","27","positive","positive","36","spectacular","right","true","pairing"
"html-button-response","16","24128","0.0-2.0-0.14","","1001","2025-09-22","21:22:42.054Z","day5","evening","2025-09-26T03:28:18.314Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","980","1665","240","","848","<p style=""font-size:40px;"">Which word describes you more?</p>","0","15","unique","bitter","PosNeg","65","67","positive","negative","2","unique","left","true","pairing"
