"trial_type","trial_index","time_elapsed","internal_node_id","PUNS_ID","session_number","session_phase","session_day","session_slot","ema_start_date","ema_post_start_date","experiment_start","browser","screen_width","screen_height","timezone_offset","view_history","rt","stimulus","response","which_experiment_phase","trial_number","left_word","right_word","valence","left_base_rating","right_base_rating","left_valence","right_valence","abs_diff","participant_response","chosen_side","valid_response"
"pavlovia","0","2052","0.0-0.0","1017","20","pre","7","afternoon","2026-02-16","2026-02-28","2026-02-22T23:31:49.497Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","370","644","480","","","","","","","","","","","","","","","","",""
"instructions","1","5492","0.0-1.0","1017","20","pre","7","afternoon","2026-02-16","2026-02-28","2026-02-22T23:31:49.497Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","370","644","480","[{""page_index"":0,""viewing_time"":1088},{""page_index"":1,""viewing_time"":700},{""page_index"":2,""viewing_time"":884},{""page_index"":3,""viewing_time"":766}]","3439","","","","","","","","","","","","","","",""
"html-keyboard-response","2","6296","0.0-2.0-0.0","1017","20","pre","7","afternoon","2026-02-16","2026-02-28","2026-02-22T23:31:49.497Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","370","644","480","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","3","8211","0.0-2.0-1.0","1017","20","pre","7","afternoon","2026-02-16","2026-02-28","2026-02-22T23:31:49.497Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","370","644","480","","1911","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","1","hateful","anxious","NegNeg","3","25","negative","negative","22","anxious","right","true"
"html-keyboard-response","4","9013","0.0-2.0-0.1","1017","20","pre","7","afternoon","2026-02-16","2026-02-28","2026-02-22T23:31:49.497Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","370","644","480","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","5","10309","0.0-2.0-1.1","1017","20","pre","7","afternoon","2026-02-16","2026-02-28","2026-02-22T23:31:49.497Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","370","644","480","","1293","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","2","sadistic","awkward","NegNeg","2","49","negative","negative","47","awkward","right","true"
"html-keyboard-response","6","11112","0.0-2.0-0.2","1017","20","pre","7","afternoon","2026-02-16","2026-02-28","2026-02-22T23:31:49.497Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","370","644","480","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","7","12676","0.0-2.0-1.2","1017","20","pre","7","afternoon","2026-02-16","2026-02-28","2026-02-22T23:31:49.497Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","370","644","480","","1563","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","3","flawless","vengeful","PosNeg","0","9","positive","negative","9","flawless","left","true"
"html-keyboard-response","8","13479","0.0-2.0-0.3","1017","20","pre","7","afternoon","2026-02-16","2026-02-28","2026-02-22T23:31:49.497Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","370","644","480","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","9","14701","0.0-2.0-1.3","1017","20","pre","7","afternoon","2026-02-16","2026-02-28","2026-02-22T23:31:49.497Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","370","644","480","","1222","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","4","prick","knowledgeable","PosNeg","2","88","negative","positive","86","knowledgeable","right","true"
