"trial_type","trial_index","time_elapsed","internal_node_id","PUNS_ID","session_number","session_phase","completed_before_this","experiment_start","browser","screen_width","screen_height","timezone_offset","view_history","rt","stimulus","response","which_experiment_phase","trial_number","left_word","right_word","valence","left_base_rating","right_base_rating","left_valence","right_valence","abs_diff","participant_response","chosen_side","valid_response","value"
"pavlovia","0","1775","0.0-0.0","9005","1","pre","0","2026-02-05T07:53:52.772Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","","","","","","","","","","","","","","","","",""
"instructions","1","9610","0.0-1.0","9005","1","pre","0","2026-02-05T07:53:52.772Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","[{""page_index"":0,""viewing_time"":1837},{""page_index"":1,""viewing_time"":2221},{""page_index"":2,""viewing_time"":2152},{""page_index"":3,""viewing_time"":1619}]","7832","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","10415","0.0-2.0-0.0","9005","1","pre","0","2026-02-05T07:53:52.772Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"html-button-response","3","11134","0.0-2.0-1.0","9005","1","pre","0","2026-02-05T07:53:52.772Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","712","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","1","turnoff","lazy","NegNeg","49","15","negative","negative","34","lazy","right","true",""
"html-keyboard-response","4","11937","0.0-2.0-0.1","9005","1","pre","0","2026-02-05T07:53:52.772Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"html-button-response","5","12643","0.0-2.0-1.1","9005","1","pre","0","2026-02-05T07:53:52.772Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","701","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","2","disgrace","radiant","PosNeg","69","49","negative","positive","20","disgrace","left","true",""
"html-keyboard-response","6","13446","0.0-2.0-0.2","9005","1","pre","0","2026-02-05T07:53:52.772Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"html-button-response","7","14233","0.0-2.0-1.2","9005","1","pre","0","2026-02-05T07:53:52.772Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","784","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","3","safe","disgusting","PosNeg","69","15","positive","negative","54","disgusting","right","true",""
"html-keyboard-response","8","15036","0.0-2.0-0.3","9005","1","pre","0","2026-02-05T07:53:52.772Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"html-button-response","9","15781","0.0-2.0-1.3","9005","1","pre","0","2026-02-05T07:53:52.772Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","742","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","4","idealistic","phony","PosNeg","15","49","positive","negative","34","phony","right","true",""
"html-keyboard-response","10","16583","0.0-2.0-0.4","9005","1","pre","0","2026-02-05T07:53:52.772Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"html-button-response","11","17299","0.0-2.0-1.4","9005","1","pre","0","2026-02-05T07:53:52.772Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","713","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","5","champion","witty","PosPos","22","69","positive","positive","47","champion","left","true",""
"html-keyboard-response","12","18102","0.0-2.0-0.5","9005","1","pre","0","2026-02-05T07:53:52.772Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"html-button-response","13","18917","0.0-2.0-1.5","9005","1","pre","0","2026-02-05T07:53:52.772Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","812","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","6","degenerate","comfortable","PosNeg","69","15","negative","positive","54","comfortable","right","true",""
"html-keyboard-response","14","19720","0.0-2.0-0.6","9005","1","pre","0","2026-02-05T07:53:52.772Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"html-button-response","15","20390","0.0-2.0-1.6","9005","1","pre","0","2026-02-05T07:53:52.772Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","666","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","7","hater","rude","NegNeg","69","49","negative","negative","20","hater","left","true",""
"html-keyboard-response","16","21192","0.0-2.0-0.7","9005","1","pre","0","2026-02-05T07:53:52.772Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"html-button-response","17","22059","0.0-2.0-1.7","9005","1","pre","0","2026-02-05T07:53:52.772Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","857","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","8","delight","helpless","PosNeg","69","15","positive","negative","54","helpless","right","true",""
