"trial_type","trial_index","time_elapsed","internal_node_id","BASE_QUALTRICS_ID","PUNS_ID","baseline_date","baseline_time","session_day","session_slot","experiment_start","browser","screen_width","screen_height","timezone_offset","view_history","rt","stimulus","response","which_experiment_phase","trial_number","left_word","right_word","valence","left_base_rating","right_base_rating","left_valence","right_valence","abs_diff","participant_response","chosen_side","valid_response"
"pavlovia","0","1518","0.0-0.0","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","","","","","","","","","","","","","","","",""
"instructions","1","16350","0.0-1.0","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","[{""page_index"":0,""viewing_time"":4815},{""page_index"":1,""viewing_time"":3632},{""page_index"":2,""viewing_time"":4458},{""page_index"":3,""viewing_time"":1921}]","14828","","","","","","","","","","","","","","",""
"html-keyboard-response","2","17157","0.0-2.0-0.0","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","3","20455","0.0-2.0-1.0","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","3294","<div class=""prompt"">Which word describes you more?</div>","1","pairing","1","spectacular","safe","PosPos","15","56","positive","positive","41","safe","right","true"
"html-keyboard-response","4","21259","0.0-2.0-0.1","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","5","23092","0.0-2.0-1.1","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","1829","<div class=""prompt"">Which word describes you more?</div>","0","pairing","2","committed","dull","PosNeg","36","37","positive","negative","1","committed","left","true"
"html-keyboard-response","6","23895","0.0-2.0-0.2","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","7","26765","0.0-2.0-1.2","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","2867","<div class=""prompt"">Which word describes you more?</div>","1","pairing","3","miserable","admired","PosNeg","37","15","negative","positive","22","admired","right","true"
"html-keyboard-response","8","27567","0.0-2.0-0.3","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","9","30188","0.0-2.0-1.3","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","2612","<div class=""prompt"">Which word describes you more?</div>","0","pairing","4","idiot","alone","NegNeg","0","37","negative","negative","37","idiot","left","true"
"html-keyboard-response","10","30991","0.0-2.0-0.4","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","11","33659","0.0-2.0-1.4","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","2667","<div class=""prompt"">Which word describes you more?</div>","1","pairing","5","safe","hopeful","PosPos","56","15","positive","positive","41","hopeful","right","true"
"html-keyboard-response","12","34462","0.0-2.0-0.5","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","13","36430","0.0-2.0-1.5","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","1966","<div class=""prompt"">Which word describes you more?</div>","1","pairing","6","bully","romantic","PosNeg","18","37","negative","positive","19","romantic","right","true"
"html-keyboard-response","14","37233","0.0-2.0-0.6","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
