"trial_type","trial_index","time_elapsed","internal_node_id","PUNS_ID","session_number","session_phase","completed_before_this","experiment_start","browser","screen_width","screen_height","timezone_offset","view_history","rt","stimulus","response","which_experiment_phase","trial_number","left_word","right_word","valence","left_base_rating","right_base_rating","left_valence","right_valence","abs_diff","participant_response","chosen_side","valid_response","value"
"pavlovia","0","854","0.0-0.0","TESTAP999","1","pre","0","2026-02-05T07:33:47.036Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1","390","699","300","","","","","","","","","","","","","","","","","",""
"instructions","1","15491","0.0-1.0","TESTAP999","1","pre","0","2026-02-05T07:33:47.036Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1","390","699","300","[{""page_index"":0,""viewing_time"":5556},{""page_index"":1,""viewing_time"":2615},{""page_index"":2,""viewing_time"":4358},{""page_index"":3,""viewing_time"":2103}]","14633","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","16298","0.0-2.0-0.0","TESTAP999","1","pre","0","2026-02-05T07:33:47.036Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1","390","699","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"html-button-response","3","17637","0.0-2.0-1.0","TESTAP999","1","pre","0","2026-02-05T07:33:47.036Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1","390","699","300","","1333","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","1","unique","pitiful","PosNeg","58","58","positive","negative","0","pitiful","right","true",""
"html-keyboard-response","4","18441","0.0-2.0-0.1","TESTAP999","1","pre","0","2026-02-05T07:33:47.036Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1","390","699","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"html-button-response","5","19707","0.0-2.0-1.1","TESTAP999","1","pre","0","2026-02-05T07:33:47.036Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1","390","699","300","","1259","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","2","traitor","negligent","NegNeg","58","58","negative","negative","0","traitor","left","true",""
"html-keyboard-response","6","20510","0.0-2.0-0.2","TESTAP999","1","pre","0","2026-02-05T07:33:47.036Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1","390","699","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"html-button-response","7","21479","0.0-2.0-1.2","TESTAP999","1","pre","0","2026-02-05T07:33:47.036Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1","390","699","300","","966","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","3","gloomy","carefree","PosNeg","58","99","negative","positive","41","carefree","right","true",""
"html-keyboard-response","8","22282","0.0-2.0-0.3","TESTAP999","1","pre","0","2026-02-05T07:33:47.036Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1","390","699","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"html-button-response","9","23080","0.0-2.0-1.3","TESTAP999","1","pre","0","2026-02-05T07:33:47.036Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1","390","699","300","","796","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","4","special","arrogant","PosNeg","58","58","positive","negative","0","special","left","true",""
